codice;nome;categoria;prezzo;giacenza;unita;descrizione
CMP-1000A;Compressore a vite 75 kW;Compressori;12850,00;2;pz;Compressore lubrificato per sala compressori
VIT-0042B;Kit revisione vite CS55;Viti e kit vite;1860,50;6;pz;Kit originale elemento vite
PMP-0101C;Pompa vuoto 40 m3/h;Pompe;2140,00;3;pz;Pompa vuoto a palette
TUB-0200C;Tubo alluminio 28 mm;Tubi e raccordi;18,90;120;m;Barra 6 metri
FLT-0303A;Filtro coalescente G 1;Filtri;96,40;18;pz;Filtro linea aria compressa
RIC-0505B;Kit manutenzione 2000h;Ricambi;312,00;9;pz;Filtri + olio + separatore
OLI-0008A;Olio sintetico 20 l;Lubrificanti;148,00;14;l;Olio compressori a vite
ESS-0012D;Essiccatore frigorifero 5.5;Essiccatori;2890,00;1;pz;Punto di rugiada +3 C
SRB-0500A;Serbatoio 500 l verticale;Serbatoi;980,00;4;pz;Serbatoio PED
VLV-0011B;Valvola di sicurezza 12 bar;Valvole;64,50;22;pz;Omologata PED
